"","Setsample1","Setsample2","Setsample3","Setsample4","Setsample5","Setsample6","Setsample7","Setsample8","Setsample9","Setsample10","Setsample11","Setsample12","Setsample13","Setsample14","Setsample15","Setsample16","Setsample17","Setsample18","Setsample19","Setsample20","Setsample21","Setsample22","Setsample23","Setsample24","Setsample25","Setsample26","Setsample27","Setsample28","Setsample29","Setsample30"
"Schwann",0.138162494214558,0.159144049609147,0.166247662051052,0.101546444747493,0.305180004193257,0.240712762919254,0.191026126191611,0.0820535578737588,0.310642035957356,0.0984610854611632,0.240128051924105,0.132945239218597,0.195471604356802,0.157511932467935,0.224809755156481,0.206731104621941,0.143996248321268,0.173075925641114,0.175137044501517,0.0959594671295774,0.228163826733273,0.174449163437785,0.0732348242505958,0.214063855730875,0.0517065645293721,0.201776443159476,0.288597938448476,0.12521483024039,0.0774789001018855,0.113581086144979
"T",0.0796716275120165,0.205973887990317,0.126381352117515,0.167331037876506,0.171441525321237,0.102889024231577,0.0593034609267841,0.279821607937069,0.154760995074107,0.174583161905412,0.187108760395026,0.197253132130852,0.101794062134966,0.161598040817851,0.349581976902931,0.145086791125177,0.0922826485727517,0.105744337994005,0.249025704438473,0.155877030411831,0.111792166226501,0.220865390599969,0.13752179396696,0.0660870261499402,0.29485255549612,0.0806519088552507,0.174962920379988,0.17049031879037,0.0941259981119256,0.353309884259559
"Myeloid",0.0894213148752904,0.208486436876624,0.213635436113728,0.0956119763275531,0.0517644742988751,0.275661643196152,0.371344130349798,0.0471950576565271,0.100920013912949,0.15088529151869,0.20679434485102,0.21363591357298,0.120257964117827,0.11563154446505,0.0978678644961798,0.202566513288536,0.120068470243506,0.174924762636655,0.182583463000683,0.111693780256611,0.149896019529437,0.0836379745706359,0.162077577396623,0.348004328432424,0.126778180310817,0.242870998147185,0.104772957360404,0.170607859679988,0.284457203806341,0.106941201545172
"neutrophils",0.15921377208762,0.169157413382592,0.179021970501524,0.169342744950985,0.150955177312432,0.241896137870056,0.230192322683268,0.186603472570681,0.118721410641029,0.170577392823918,0.160880894057873,0.176540265886126,0.155417986740707,0.180315892053388,0.16722118688158,0.177719498334524,0.150387252462243,0.221559435002691,0.200571334205621,0.168567978713585,0.15760656300113,0.197507294043013,0.157199088849072,0.220132077838225,0.218615372478735,0.195678753061992,0.153931724294784,0.171137880763785,0.196595887975879,0.211330436901935
"NKcell",0.259015424462552,0.0615672722533013,0.115028473438442,0.205237095143361,0.22373776948586,0.289247700249343,0.140287245117516,0.272500356212073,0.0725095695377592,0.118184279523124,0.0630287853017143,0.0539368690279368,0.21207049970104,0.229831468298538,0.101468959045391,0.159357332716483,0.165583399766897,0.28049092561009,0.143841864228535,0.185234352348354,0.122798911037342,0.247877394920448,0.113010026196095,0.146655963244401,0.29135626017048,0.190534787337992,0.136918732927741,0.113812023640291,0.13948091511704,0.205593542787037
"endothelial",0.0932586906396999,0.059854050673298,0.251623369227063,0.213526687195122,0.114233015357397,0.149969299069625,0.122759497932017,0.0911989529778056,0.19828312516552,0.103759940371064,0.200944267340956,0.199309274020673,0.211014217423674,0.0345813466440568,0.0389015781453457,0.120705993914731,0.292091715060651,0.222549785424527,0.0679139129766361,0.171490888153501,0.256582086376539,0.176244958130458,0.266305145904685,0.100220149673991,0.260935588220209,0.346197768242259,0.0961181697971124,0.192855588952269,0.200892696492485,0.0802326923015267
"dendritic",0.0856715519274793,0.175212856886064,0.231632337983831,0.165497450300179,0.131469429773452,0.220099799486088,0.247040020942004,0.0751058729833495,0.120354828594966,0.226450356805423,0.143234464133857,0.273492431772657,0.170048234680603,0.175324870839913,0.109784837413989,0.145588704508679,0.155876373619598,0.187976519030267,0.172193535719145,0.188870559909553,0.196353498362488,0.104506007175176,0.208066155463872,0.253121204574139,0.121092911224645,0.203946391061785,0.178938400346692,0.228399415929142,0.239727482633918,0.121783865121974
"Bcell",0.0644217138586422,0.126940800371283,0.20548659227178,0.265786214826228,0.251423398772406,0.0627856627051191,0.0693045352490368,0.0843401063934724,0.0857772681064857,0.291298419960898,0.0534136046004315,0.338105756441133,0.165272884320649,0.311113290515866,0.0771989432276154,0.0399004690166552,0.140935138970939,0.179260812369188,0.119697452348724,0.267829381195587,0.188195386178727,0.0700719517538201,0.205462499959062,0.105715162976292,0.0916969299297711,0.143421959211145,0.270019372856262,0.285726003166489,0.152385518955178,0.0907340282302066
"TNK",0.190827927554658,0.161020089403798,0.168885411531251,0.20008911904071,0.200757256637387,0.164985902362043,0.139243761528289,0.217697297096637,0.16294133626485,0.186963396369662,0.158929380734252,0.182429294333373,0.185431286645709,0.191276617606281,0.186835532631563,0.167738560772787,0.184620746354487,0.195598437808483,0.170568905665202,0.197261287655424,0.17847947734942,0.200589054150042,0.175078339720521,0.141697141641555,0.222497227508026,0.160919417933657,0.185636158168164,0.177981766977888,0.16406448381831,0.221605150618204
"Lymp",0.153965240353384,0.176765413874354,0.151064283454331,0.192067865537574,0.195135380513015,0.162522417232792,0.126764505906318,0.250124694592956,0.143977285120434,0.21212391732623,0.133760640989852,0.186441437641374,0.176904884094591,0.194267161819528,0.221691044558529,0.143654710817847,0.149790047345231,0.199808923978959,0.193764314075854,0.18150633678764,0.14248176893755,0.195548017204052,0.161440312169395,0.125641741108928,0.265241062432755,0.142763284184257,0.190947214914137,0.18137518530658,0.138892096859529,0.269066056815452
"TNK",0.234965081349232,0.158123786911209,0.150322150366867,0.189002479549602,0.194104674515054,0.182528374707403,0.127143328650677,0.254925313934473,0.16106856521689,0.155803467696649,0.1564929233496,0.133625187758429,0.164859534558499,0.199980312055432,0.199324432398269,0.170431286598778,0.185905284889569,0.203167743942704,0.167300142172551,0.177474985583603,0.14811369183062,0.229315068762288,0.159595918688577,0.129614398216802,0.281351733565703,0.167138135358268,0.163235547582019,0.150629025982872,0.134015039945108,0.233034935920467
"fibroblast",0.481889528719598,0.299245063522029,0.0702594603370929,0.194614116329664,0.0861201479425947,0.0532444712204651,0.184802806552797,0.218559045518005,0.169969167926019,0.0521209932820592,0.238312106316789,0.0219772067661479,0.0317538065135903,0.236706509150534,0.14854851786461,0.329558825854391,0.139242962669227,0.0193373764459067,0.188723998716663,0.14788866714332,0.0523884437421448,0.193578704603125,0.193026939180262,0.183321558608494,0.0771204893098252,0.065297904909884,0.0472966618094241,0.105083336385018,0.216875395335014,0.0882989526690488
"T",0.134029052645841,0.17711634665929,0.158035132984973,0.169157608177255,0.192697330580553,0.163970554951137,0.124187664940936,0.258525583267963,0.179677726588325,0.193578774041165,0.17002168560143,0.195483973109227,0.190793539971455,0.18694852080282,0.255627022776076,0.147784241851967,0.144544337399273,0.166856582653349,0.189384336123729,0.18578730450282,0.163944399609387,0.194265040311223,0.147227727005565,0.121161040052961,0.236153296894727,0.134035383904655,0.177450248734365,0.173613673312396,0.135131517756894,0.285778924245986
